Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-25,250.5950649141504,252.3150959560843,250.47218412879107,251.12745666503906,10327216,0.0,0
2017-07-26,250.75884821275108,255.01803193877885,250.67693602646406,254.44467163085938,15400089,0.0,0
2017-07-27,255.4685292679732,260.2191614466147,255.22281768808293,258.9495849609375,28035596,0.0,0
2017-07-28,255.55044932317145,256.4923770698557,246.8273380233778,254.23992919921875,27443594,0.0,0
2017-07-31,253.5846470353272,258.835700411807,252.9703431544258,256.7790222167969,24060027,0.0,0
2017-08-01,256.1237939115779,260.0553290451629,254.93612965451013,258.82672119140625,19421224,0.0,0
2017-08-02,258.4581332356096,258.99054997817143,255.3047263541714,256.28759765625,22013780,0.0,0
2017-08-03,255.7551953285452,257.9257308181043,254.77229907104027,257.1066589355469,10995629,0.0,0
2017-08-04,256.00089773933837,259.76863326357227,255.5094746242512,259.4410095214844,41780816,0.0,0
2017-08-07,259.6457930939107,260.4148978109566,257.82090349472423,258.82672119140625,13091457,0.0,0
2017-08-08,258.58095769075857,260.3419569282804,257.1066135646745,259.60479736328125,17046555,0.0,0
2017-08-09,258.9905630494449,259.60486701778217,256.28761059110525,256.615234375,21707409,0.0,0
2017-08-10,257.80187307685094,265.5575384146522,252.11863082147374,253.35189819335938,18293751,10.55,0
2017-08-11,253.47904139161108,255.7676103062426,246.63032935550532,249.49526977539062,24974417,0.0,0
2017-08-14,250.8091012787042,252.08052290654535,247.75768419845758,251.69911193847656,14924175,0.0,0
2017-08-15,251.65668201866447,252.71619990007272,248.20688558868656,251.4447784423828,18107693,0.0,0
2017-08-16,251.82621237742086,252.01693076734375,248.64765876915772,249.5376434326172,14428346,0.0,0
2017-08-17,250.0885679586415,250.6819082658875,247.41858831030135,248.8595428466797,15499996,0.0,0
2017-08-18,247.5033626719418,249.0714542184614,246.3167078873525,247.9271697998047,11749826,0.0,0
2017-08-21,246.9524200438003,248.64764856530618,246.69812024529375,247.6728973388672,10890945,0.0,0
2017-08-22,248.64764954099377,249.53763417142287,247.4847149070685,248.30860900878906,14815612,0.0,0
2017-08-23,248.3509674072266,248.81714488315134,247.630490144052,248.35096740722656,8820947,0.0,0
2017-08-24,248.39335833382611,248.81716548052577,247.22367233732874,247.2490997314453,9290251,0.0,0
2017-08-25,247.4610087576053,248.05432325577732,245.68101352881735,245.93528747558594,6376968,0.0,0
2017-08-29,245.13005198863254,245.13005198863254,240.71313536374285,243.9010009765625,13791788,0.0,0
2017-08-30,245.21479334964684,247.503362182434,243.86455481061103,246.40147399902344,16262276,0.0,0
2017-08-31,245.80812229730873,248.56286849546822,245.2571782311034,247.9695281982422,16521021,0.0,0
2017-09-01,247.75764859687476,248.39335931944674,244.07054709966553,244.49435424804688,11721081,0.0,0
