Date,Pearson,education,Edexcel,publisher,penguin,books
2017-12-15,74,73,70,77,93,92
2017-12-16,49,52,36,47,88,90
2017-12-17,43,51,37,49,97,96
2017-12-18,74,74,47,80,100,94
2017-12-19,83,75,56,73,98,97
2017-12-20,71,74,41,77,83,92
2017-12-21,64,67,38,48,87,92
2017-12-22,63,50,34,52,91,85
2017-12-23,41,42,31,37,81,83
2017-12-24,40,37,23,19,89,73
2017-12-25,43,36,21,27,88,70
2017-12-26,43,51,19,48,77,82
2017-12-27,44,55,32,49,74,85
2017-12-28,48,58,45,62,79,82
2017-12-29,44,54,41,44,81,82
2017-12-30,43,100,35,42,75,83
2017-12-31,43,44,41,44,80,79
2018-01-01,34,47,34,42,91,93
2018-01-02,58,72,44,68,82,95
2018-01-03,56,78,62,67,87,96
2018-01-04,58,81,71,84,89,92
2018-01-05,54,73,56,75,80,95
2018-01-06,60,59,45,58,82,92
2018-01-07,48,58,82,44,75,94
2018-01-08,83,89,77,82,80,95
2018-01-09,93,96,86,96,89,100
2018-01-10,89,92,100,83,92,100
2018-01-11,91,91,80,94,93,95
2018-01-12,80,78,54,80,94,91
2018-01-13,46,58,45,53,93,88
2018-01-14,50,53,80,50,86,90
2018-01-15,64,76,82,76,86,90
2018-01-16,92,92,80,94,89,94
2018-01-17,94,92,75,78,94,93
2018-01-18,88,88,65,77,97,89
2018-01-19,75,84,50,72,92,89
2018-01-20,51,58,44,56,98,82
2018-01-21,48,60,43,45,95,89
2018-01-22,90,88,64,79,100,91
2018-01-23,100,91,66,100,87,94
2018-01-24,100,96,64,100,92,95
2018-01-25,94,91,62,97,96,93
2018-01-26,86,77,44,75,91,88
2018-01-27,56,61,45,42,86,87
2018-01-28,55,62,45,52,88,89
2018-01-29,92,96,65,94,84,91
2018-01-30,93,100,67,86,86,92
2018-01-31,93,93,55,98,87,90
2018-02-01,95,98,74,89,100,97
2018-02-02,76,89,73,71,93,92
2018-02-03,46,64,48,47,81,86
2018-02-04,59,63,56,48,90,93
2018-02-05,100,94,84,76,77,94
2018-02-06,94,94,82,93,86,100
2018-02-07,98,98,98,82,85,97
2018-02-08,87,91,84,87,93,97
2018-02-09,83,84,70,73,98,92
2018-02-10,47,60,44,48,82,91
2018-02-11,63,61,51,50,82,95
2018-02-12,81,88,59,79,89,96
2018-02-13,87,93,57,82,94,97
2018-02-14,83,83,57,78,88,88
2018-02-15,78,92,47,82,89,91
2018-02-16,70,80,44,65,89,91
2018-02-17,47,56,52,51,76,83
2018-02-18,53,63,79,55,100,91
2018-02-19,73,84,96,69,79,93
2018-02-20,82,93,96,96,86,100
2018-02-21,74,96,95,86,80,89
2018-02-22,81,97,100,86,88,92
2018-02-23,75,85,59,93,86,92
2018-02-24,41,63,54,44,82,86
2018-02-25,47,65,70,62,81,90
2018-02-26,85,97,100,94,83,99
2018-02-27,90,100,88,91,87,98
2018-02-28,83,90,90,100,83,95
2018-03-01,95,91,54,99,88,94
2018-03-02,85,81,62,85,97,92
2018-03-03,53,64,44,58,100,90
2018-03-04,57,65,69,60,83,93
2018-03-05,100,94,90,98,72,95
2018-03-06,86,99,81,90,77,99
2018-03-07,99,98,94,97,63,95
2018-03-08,100,98,100,84,69,98
2018-03-09,82,88,55,83,94,94
2018-03-10,52,64,49,46,91,89
2018-03-11,49,68,58,46,77,86
2018-03-12,94,99,76,74,68,95
2018-03-13,91,100,85,96,79,93
2018-03-14,83,92,67,92,71,95
2018-03-15,87,97,69,84,74,91
2018-03-16,79,81,66,84,69,89
2018-03-17,45,58,62,54,69,84
2018-03-18,54,59,74,62,62,93
2018-03-19,90,92,83,100,63,100
2018-03-20,88,97,67,97,67,94
2018-03-21,79,93,73,93,65,95
2018-03-22,81,90,61,90,73,98
2018-03-23,71,80,78,78,79,93
2018-03-24,48,62,54,40,79,87
2018-03-25,48,63,48,47,72,92
2018-03-26,85,92,75,72,70,94
2018-03-27,81,96,84,82,71,93
2018-03-28,80,91,65,84,65,94
2018-03-29,73,81,68,76,77,87
2018-03-30,52,63,45,59,78,86
2018-03-31,42,57,50,32,67,86
2018-04-01,32,52,32,45,71,89
2018-04-02,53,78,42,67,72,100
2018-04-03,66,88,46,57,61,98
2018-04-04,68,84,43,80,63,94
2018-04-05,76,87,45,78,62,95
2018-04-06,58,79,34,71,68,94
2018-04-07,35,61,51,53,64,90
2018-04-08,49,61,49,49,65,95
2018-04-09,70,93,48,84,63,98
2018-04-10,75,93,62,89,59,94
2018-04-11,64,96,60,78,62,91
2018-04-12,69,100,44,73,66,92
2018-04-13,70,83,61,71,68,89
2018-04-14,77,58,51,50,62,84
2018-04-15,97,58,63,43,73,92
2018-04-16,100,95,97,69,62,93
2018-04-17,89,94,91,100,67,99
2018-04-18,86,90,90,85,63,92
2018-04-19,83,87,75,78,62,94
2018-04-20,70,80,65,63,67,89
2018-04-21,53,55,53,41,68,84
2018-04-22,58,59,69,59,68,90
2018-04-23,90,90,95,65,63,93
2018-04-24,76,97,76,72,66,96
