Date,Legal & General,assurance,insurance,business,pensions,investment
2018-10-09,54,88,94,98,73,89
2018-10-10,0,95,93,100,64,90
2018-10-11,0,87,92,95,71,95
2018-10-12,0,88,85,87,56,88
2018-10-13,17,59,63,64,37,61
2018-10-14,17,57,57,69,44,67
2018-10-15,29,94,100,99,66,96
2018-10-16,99,91,95,99,70,98
2018-10-17,57,100,90,97,71,91
2018-10-18,58,92,89,94,63,81
2018-10-19,15,78,84,85,55,76
2018-10-20,33,56,58,60,32,56
2018-10-21,0,46,57,65,40,64
2018-10-22,100,95,96,95,80,100
2018-10-23,42,95,93,98,71,94
2018-10-24,28,81,85,95,63,95
2018-10-25,43,80,89,97,61,88
2018-10-26,74,80,82,83,64,76
2018-10-27,16,49,56,55,35,57
2018-10-28,0,58,52,62,38,54
2018-10-29,54,82,92,92,97,93
2018-10-30,28,78,91,93,82,91
2018-10-31,43,79,89,97,65,83
2018-11-01,18,71,100,91,82,86
2018-11-02,53,86,94,85,65,84
2018-11-03,19,54,65,56,52,57
2018-11-04,0,55,59,63,46,61
2018-11-05,47,99,98,94,89,96
2018-11-06,0,91,99,89,95,83
2018-11-07,48,91,91,90,83,81
2018-11-08,33,88,92,89,76,84
2018-11-09,69,94,90,81,65,78
2018-11-10,19,59,63,59,42,58
2018-11-11,0,55,59,61,41,64
2018-11-12,82,100,95,89,49,81
2018-11-13,66,99,97,95,67,97
2018-11-14,33,90,99,96,77,100
2018-11-15,34,87,95,93,75,86
2018-11-16,17,83,93,83,82,75
2018-11-17,0,60,64,58,37,61
2018-11-18,19,52,58,61,32,66
2018-11-19,66,91,95,89,82,94
2018-11-20,100,95,96,93,72,88
2018-11-21,50,89,83,84,90,80
2018-11-22,68,82,62,73,82,68
2018-11-23,34,84,66,70,57,62
2018-11-24,19,59,61,62,57,53
2018-11-25,18,52,60,62,44,56
2018-11-26,48,89,100,90,69,92
2018-11-27,81,96,100,100,77,97
2018-11-28,16,99,98,96,93,95
2018-11-29,17,94,97,95,87,96
2018-11-30,50,85,100,83,100,85
2018-12-01,0,57,68,64,65,56
2018-12-02,18,50,59,63,57,59
2018-12-03,78,88,100,100,98,97
2018-12-04,47,81,96,99,69,89
2018-12-05,47,100,92,97,100,100
2018-12-06,65,95,93,97,86,91
2018-12-07,100,79,90,87,67,82
2018-12-08,19,53,63,57,46,58
2018-12-09,18,50,61,66,48,60
2018-12-10,16,86,98,94,85,87
2018-12-11,95,85,95,94,88,93
2018-12-12,97,84,91,94,74,88
2018-12-13,49,82,97,96,78,91
2018-12-14,98,82,90,85,77,73
2018-12-15,0,55,72,59,49,54
2018-12-16,0,50,60,61,33,51
2018-12-17,15,82,91,88,68,79
2018-12-18,47,89,94,92,74,84
2018-12-19,34,89,91,89,98,89
2018-12-20,86,82,91,87,79,73
2018-12-21,0,77,89,79,79,69
2018-12-22,19,49,65,52,51,44
2018-12-23,0,41,53,53,22,48
2018-12-24,19,52,60,54,48,52
2018-12-25,0,44,44,47,28,49
2018-12-26,36,72,76,62,46,60
2018-12-27,17,87,91,75,60,68
2018-12-28,70,70,98,71,57,69
2018-12-29,19,49,69,58,49,55
2018-12-30,0,44,63,58,48,51
2018-12-31,0,53,81,66,51,66
2019-01-01,41,45,59,51,56,53
