Date,network,BT,EE,data,services,communications
2017-12-24,86,59,69,61,47,34
2017-12-25,85,66,74,63,41,29
2017-12-26,84,73,89,70,65,58
2017-12-27,86,79,92,78,79,73
2017-12-28,85,79,100,77,79,79
2017-12-29,84,82,94,72,74,71
2017-12-30,82,85,83,62,44,44
2017-12-31,80,73,79,58,43,46
2018-01-01,75,84,78,65,48,39
2018-01-02,85,89,100,83,91,78
2018-01-03,87,86,83,91,96,91
2018-01-04,92,88,77,89,92,98
2018-01-05,89,93,71,90,92,87
2018-01-06,77,81,66,67,56,47
2018-01-07,78,82,70,69,51,43
2018-01-08,89,82,71,89,93,92
2018-01-09,89,83,75,96,93,91
2018-01-10,90,87,78,98,96,99
2018-01-11,92,86,68,97,93,90
2018-01-12,94,80,65,88,83,85
2018-01-13,77,80,64,68,52,51
2018-01-14,72,79,65,67,47,44
2018-01-15,83,92,67,88,82,74
2018-01-16,84,90,71,94,99,93
2018-01-17,85,79,69,97,93,87
2018-01-18,83,83,71,97,97,94
2018-01-19,83,82,61,91,87,92
2018-01-20,74,78,65,69,54,49
2018-01-21,76,84,68,68,50,46
2018-01-22,91,85,70,97,96,100
2018-01-23,100,83,72,99,99,92
2018-01-24,93,87,74,99,96,91
2018-01-25,83,76,72,92,92,85
2018-01-26,97,83,65,87,84,78
2018-01-27,73,91,64,66,52,53
2018-01-28,98,80,65,70,49,46
2018-01-29,98,83,74,100,98,92
2018-01-30,91,93,68,98,100,97
2018-01-31,87,100,70,97,92,97
2018-02-01,92,71,79,100,96,95
2018-02-02,86,76,79,90,87,90
2018-02-03,82,76,62,68,54,53
2018-02-04,87,70,70,67,52,51
2018-02-05,91,79,88,93,100,100
2018-02-06,93,79,74,97,100,92
2018-02-07,100,80,78,99,96,92
2018-02-08,95,74,71,96,95,95
2018-02-09,100,80,78,92,87,85
2018-02-10,78,89,77,66,56,60
2018-02-11,80,75,78,69,51,52
2018-02-12,93,81,83,93,98,87
2018-02-13,89,95,79,94,98,92
2018-02-14,85,100,75,97,91,92
2018-02-15,86,81,86,97,95,97
2018-02-16,83,79,79,85,83,77
2018-02-17,75,86,73,65,54,47
2018-02-18,77,71,74,66,49,50
2018-02-19,86,83,81,91,87,76
2018-02-20,87,95,78,98,96,94
2018-02-21,91,86,80,97,94,97
2018-02-22,94,83,80,100,95,97
2018-02-23,89,75,76,91,88,87
2018-02-24,78,69,72,68,52,50
2018-02-25,78,71,67,69,49,46
2018-02-26,92,74,79,94,95,88
2018-02-27,90,79,100,97,97,100
2018-02-28,88,80,81,94,95,96
2018-03-01,100,81,80,84,94,91
2018-03-02,100,82,95,83,89,79
2018-03-03,83,91,88,64,56,55
2018-03-04,81,83,82,64,53,46
2018-03-05,87,88,100,89,100,95
2018-03-06,86,100,95,91,99,88
2018-03-07,96,94,91,92,96,95
2018-03-08,100,89,89,88,96,94
2018-03-09,88,82,85,87,90,89
2018-03-10,81,76,83,65,56,50
2018-03-11,79,72,84,65,50,44
2018-03-12,93,87,93,94,97,86
2018-03-13,94,97,97,94,100,89
2018-03-14,90,89,90,95,92,85
2018-03-15,92,81,87,94,93,100
2018-03-16,87,83,88,82,90,81
2018-03-17,73,94,94,62,55,48
2018-03-18,72,82,89,65,52,47
2018-03-19,88,85,94,94,100,83
2018-03-20,88,82,88,97,99,94
2018-03-21,92,82,91,100,95,95
2018-03-22,92,83,85,96,93,94
2018-03-23,86,80,81,87,88,79
2018-03-24,75,75,86,71,53,44
2018-03-25,76,70,89,71,53,40
2018-03-26,91,86,95,100,97,98
2018-03-27,94,82,91,98,99,90
2018-03-28,94,89,87,97,98,83
2018-03-29,90,81,87,91,98,91
2018-03-30,81,70,93,77,78,73
2018-03-31,80,80,80,64,54,47
2018-04-01,73,62,77,61,46,45
2018-04-02,85,62,84,81,87,84
2018-04-03,89,81,92,86,100,95
2018-04-04,90,100,91,88,96,87
2018-04-05,91,74,87,88,96,88
2018-04-06,89,72,90,81,89,81
2018-04-07,81,73,87,61,54,48
2018-04-08,99,67,78,65,53,53
2018-04-09,98,69,93,89,100,89
2018-04-10,86,95,84,92,97,95
2018-04-11,88,78,93,93,96,87
2018-04-12,98,71,87,100,95,98
2018-04-13,86,73,89,82,86,85
2018-04-14,85,63,78,60,52,43
2018-04-15,89,69,77,63,51,48
2018-04-16,100,73,81,90,97,95
2018-04-17,91,72,85,92,99,100
2018-04-18,85,72,84,93,93,87
2018-04-19,86,65,79,92,100,93
2018-04-20,83,70,76,81,86,79
2018-04-21,70,66,75,63,54,45
2018-04-22,71,72,75,63,52,45
2018-04-23,85,74,88,88,99,93
2018-04-24,88,96,100,91,100,96
2018-04-25,83,85,89,89,96,84
2018-04-26,89,76,88,88,91,84
2018-04-27,93,70,86,80,85,79
2018-04-28,75,61,81,62,51,42
2018-04-29,76,59,75,63,51,44
2018-04-30,83,77,89,82,98,97
2018-05-01,96,56,86,88,94,100
2018-05-02,99,63,92,95,98,97
2018-05-03,100,53,88,100,93,100
2018-05-04,96,49,91,88,89,86
2018-05-05,80,38,78,66,52,54
2018-05-06,75,38,80,68,49,43
2018-05-07,95,38,78,93,87,88
2018-05-08,98,48,87,96,97,90
2018-05-09,97,48,93,99,94,91
2018-05-10,99,54,90,93,94,92
2018-05-11,95,47,89,86,87,79
2018-05-12,78,46,84,66,50,45
2018-05-13,77,44,73,68,51,43
2018-05-14,95,46,91,94,98,91
2018-05-15,98,45,85,96,100,95
2018-05-16,94,52,93,99,91,95
2018-05-17,97,45,91,99,91,90
2018-05-18,91,43,88,87,84,81
2018-05-19,80,39,74,67,50,47
2018-05-20,79,43,86,68,54,48
2018-05-21,89,47,94,95,93,87
2018-05-22,94,47,94,97,94,99
2018-05-23,94,50,97,99,90,99
2018-05-24,92,49,82,100,89,87
2018-05-25,94,49,97,89,79,85
2018-05-26,82,100,85,67,50,36
2018-05-27,81,43,88,68,50,44
2018-05-28,90,41,87,82,66,55
2018-05-29,95,46,91,90,94,83
2018-05-30,98,48,100,95,94,93
2018-05-31,100,48,96,93,91,94
2018-06-01,93,75,79,86,87,92
