Date,treatment,MedImmune,Covid,research,drug,AstraZeneca
2018-01-30,100,96,0.0,97,95,69
2018-01-31,95,24,0.0,100,98,100
2018-02-01,94,33,0.0,99,93,68
2018-02-02,91,33,0.0,80,87,84
2018-02-03,83,74,58.0,63,83,23
2018-02-04,84,37,0.0,69,76,17
2018-02-05,94,97,0.0,89,90,70
2018-02-06,94,64,100.0,99,95,89
2018-02-07,99,97,0.0,96,96,57
2018-02-08,98,97,51.0,92,98,58
2018-02-09,91,100,0.0,83,93,49
2018-02-10,81,37,0.0,62,77,31
2018-02-11,82,0,0.0,67,80,17
2018-02-12,93,65,0.0,93,91,60
2018-02-13,91,33,0.0,92,97,48
2018-02-14,86,33,0.0,85,86,58
2018-02-15,94,66,0.0,88,94,51
2018-02-16,87,34,0.0,83,94,46
2018-02-17,83,38,0.0,63,80,20
2018-02-18,84,0,0.0,68,77,31
2018-02-19,96,0,0.0,88,92,100
2018-02-20,97,0,0.0,98,95,67
2018-02-21,100,96,50.0,92,91,49
2018-02-22,95,0,0.0,98,100,65
2018-02-23,91,34,0.0,84,93,65
2018-02-24,82,74,0.0,61,79,20
2018-02-25,87,72,0.0,66,79,28
2018-02-26,92,32,0.0,100,92,56
2018-02-27,94,63,0.0,97,95,75
2018-02-28,92,63,49.0,95,94,68
2018-03-01,90,23,0.0,92,91,100
2018-03-02,83,49,0.0,82,83,69
2018-03-03,84,27,0.0,61,72,30
2018-03-04,85,0,0.0,69,74,15
2018-03-05,95,46,0.0,97,86,84
2018-03-06,100,23,0.0,99,96,66
2018-03-07,99,72,0.0,100,89,64
2018-03-08,96,72,0.0,96,84,74
2018-03-09,90,75,0.0,87,91,77
2018-03-10,85,0,100.0,64,74,27
2018-03-11,81,0,0.0,69,80,34
2018-03-12,97,47,0.0,98,87,86
2018-03-13,97,0,0.0,100,89,70
2018-03-14,90,47,0.0,96,84,79
2018-03-15,90,0,0.0,94,88,60
2018-03-16,89,25,0.0,80,86,73
2018-03-17,80,54,0.0,60,72,11
2018-03-18,82,0,0.0,63,77,15
2018-03-19,96,0,0.0,95,96,91
2018-03-20,95,47,0.0,96,95,69
2018-03-21,93,24,0.0,99,88,90
2018-03-22,94,24,0.0,92,93,53
2018-03-23,91,98,0.0,83,88,62
2018-03-24,83,0,0.0,62,76,28
2018-03-25,85,56,0.0,68,77,35
2018-03-26,99,24,0.0,91,89,68
2018-03-27,95,24,0.0,89,94,74
2018-03-28,93,49,0.0,92,91,75
2018-03-29,91,100,0.0,80,94,84
2018-03-30,87,27,0.0,72,100,45
2018-03-31,84,0,0.0,59,74,20
2018-04-01,81,0,0.0,60,83,13
2018-04-02,96,27,0.0,82,97,38
2018-04-03,99,50,0.0,95,90,67
2018-04-04,98,25,87.0,92,89,74
2018-04-05,95,25,0.0,91,91,43
2018-04-06,91,26,91.0,84,87,81
2018-04-07,85,0,100.0,59,79,33
2018-04-08,86,58,0.0,69,75,45
2018-04-09,94,100,87.0,90,92,74
2018-04-10,97,24,0.0,94,90,65
2018-04-11,93,49,0.0,93,92,97
2018-04-12,91,0,0.0,93,93,74
2018-04-13,92,78,0.0,83,89,48
2018-04-14,78,0,0.0,59,75,21
2018-04-15,83,0,0.0,73,76,40
2018-04-16,99,50,0.0,92,93,70
2018-04-17,100,50,0.0,100,100,81
2018-04-18,98,0,0.0,89,94,89
2018-04-19,99,78,0.0,97,98,92
2018-04-20,93,27,0.0,81,99,67
2018-04-21,82,0,0.0,61,79,41
2018-04-22,91,29,0.0,66,77,20
2018-04-23,95,0,0.0,93,95,72
2018-04-24,96,25,0.0,92,90,83
2018-04-25,95,25,0.0,90,94,63
2018-04-26,97,25,0.0,91,96,100
2018-04-27,88,53,92.0,80,89,60
2018-04-28,87,30,0.0,55,80,42
2018-04-29,87,0,0.0,59,79,33
2018-04-30,97,0,0.0,89,92,55
2018-05-01,100,90,0.0,100,100,71
2018-05-02,96,42,0.0,98,95,94
2018-05-03,95,43,0.0,99,96,96
2018-05-04,88,0,0.0,89,90,59
2018-05-05,79,100,0.0,65,73,41
2018-05-06,84,49,0.0,66,72,24
2018-05-07,94,43,0.0,97,91,60
2018-05-08,98,84,0.0,95,92,94
2018-05-09,94,43,0.0,100,95,98
2018-05-10,93,86,0.0,94,95,78
2018-05-11,92,0,0.0,78,97,91
2018-05-12,82,50,0.0,56,73,49
2018-05-13,77,49,0.0,58,74,32
2018-05-14,93,43,0.0,98,92,77
2018-05-15,91,42,0.0,95,93,59
2018-05-16,88,42,0.0,88,86,73
2018-05-17,91,87,98.0,92,88,89
2018-05-18,85,90,0.0,86,86,100
2018-05-19,78,0,0.0,55,77,45
2018-05-20,88,0,0.0,65,80,46
2018-05-21,92,44,0.0,86,97,57
2018-05-22,95,0,0.0,91,88,81
2018-05-23,92,0,98.0,87,92,50
2018-05-24,92,0,99.0,87,89,89
2018-05-25,83,0,0.0,77,91,52
2018-05-26,83,0,0.0,53,74,21
2018-05-27,89,0,0.0,60,73,8
2018-05-28,85,44,0.0,71,78,44
2018-05-29,94,85,0.0,89,85,91
2018-05-30,92,42,0.0,95,94,70
2018-05-31,96,0,100.0,86,97,80
2018-06-01,91,0,0.0,83,90,71
2018-06-02,89,0,100.0,60,75,33
2018-06-03,91,0,0.0,69,79,38
2018-06-04,98,100,0.0,99,94,78
2018-06-05,99,25,0.0,100,92,75
2018-06-06,96,25,0.0,100,99,93
2018-06-07,92,0,0.0,97,100,86
2018-06-08,90,53,90.0,86,96,56
2018-06-09,86,0,0.0,63,79,12
2018-06-10,88,0,0.0,65,77,17
2018-06-11,97,48,0.0,90,98,93
2018-06-12,96,23,0.0,96,88,78
2018-06-13,96,23,0.0,93,92,100
2018-06-14,90,50,0.0,88,88,78
2018-06-15,85,0,0.0,73,77,71
2018-06-16,77,0,0.0,55,73,21
2018-06-17,81,0,0.0,60,74,25
2018-06-18,92,25,0.0,92,84,63
2018-06-19,90,24,0.0,94,85,59
2018-06-20,98,50,0.0,90,90,64
2018-06-21,90,25,0.0,94,88,82
2018-06-22,90,0,0.0,78,87,85
2018-06-23,87,0,0.0,60,73,24
2018-06-24,91,0,0.0,70,75,29
2018-06-25,100,0,0.0,97,92,77
2018-06-26,89,49,0.0,93,94,66
2018-06-27,91,49,0.0,94,90,63
2018-06-28,92,50,0.0,93,85,100
2018-06-29,94,0,0.0,82,84,53
2018-06-30,83,29,0.0,60,77,20
2018-07-01,84,30,100.0,64,69,27
2018-07-02,87,0,0.0,90,85,63
2018-07-03,86,53,0.0,88,77,72
2018-07-04,80,28,0.0,85,65,41
2018-07-05,89,27,0.0,91,76,72
2018-07-06,86,0,0.0,75,80,43
2018-07-07,80,0,0.0,61,64,24
2018-07-08,90,31,0.0,66,69,35
2018-07-09,93,27,0.0,92,83,64
2018-07-10,90,26,0.0,94,81,67
2018-07-11,93,100,0.0,93,83,48
2018-07-12,91,56,92.0,94,82,82
2018-07-13,89,86,0.0,86,77,59
2018-07-14,81,0,0.0,63,70,18
2018-07-15,86,0,0.0,68,69,18
2018-07-16,94,55,0.0,93,83,62
2018-07-17,94,0,0.0,99,89,95
2018-07-18,93,27,0.0,100,86,56
2018-07-19,98,0,0.0,97,86,72
2018-07-20,87,0,0.0,82,81,71
2018-07-21,84,0,0.0,57,71,43
2018-07-22,84,0,0.0,69,75,18
2018-07-23,97,0,0.0,96,82,44
2018-07-24,92,81,0.0,98,84,64
2018-07-25,100,55,0.0,96,100,78
2018-07-26,94,28,0.0,95,86,100
2018-07-27,89,28,0.0,81,82,57
2018-07-28,82,31,0.0,62,73,32
2018-07-29,86,31,0.0,65,71,28
2018-07-30,92,27,0.0,92,78,85
2018-07-31,94,27,89.0,96,83,67
2018-08-01,95,63,0.0,91,98,81
2018-08-02,94,31,0.0,89,93,64
2018-08-03,89,67,0.0,79,95,82
2018-08-04,89,0,0.0,62,87,40
2018-08-05,89,0,0.0,66,80,11
2018-08-06,100,32,0.0,86,95,56
2018-08-07,97,62,0.0,90,96,82
2018-08-08,94,95,0.0,86,94,72
2018-08-09,93,0,0.0,83,91,89
2018-08-10,94,0,0.0,81,95,68
2018-08-11,84,36,0.0,59,79,21
2018-08-12,90,36,0.0,63,81,46
2018-08-13,94,64,0.0,86,95,44
2018-08-14,97,0,0.0,88,92,78
2018-08-15,91,33,0.0,86,89,71
2018-08-16,92,0,100.0,89,97,80
2018-08-17,88,0,0.0,76,87,77
2018-08-18,80,0,0.0,54,83,18
2018-08-19,86,0,0.0,65,81,22
2018-08-20,95,33,0.0,95,92,52
2018-08-21,91,33,0.0,97,93,96
2018-08-22,91,100,0.0,98,100,69
2018-08-23,90,33,0.0,97,94,100
2018-08-24,88,34,0.0,87,87,73
2018-08-25,86,0,0.0,62,77,32
2018-08-26,90,0,0.0,68,73,11
2018-08-27,93,0,0.0,88,89,44
2018-08-28,92,64,0.0,100,94,56
2018-08-29,94,94,96.0,96,96,52
2018-08-30,94,64,0.0,99,93,97
2018-08-31,86,33,0.0,87,89,55
2018-09-01,82,23,0.0,53,75,46
2018-09-02,84,0,0.0,58,74,38
2018-09-03,89,0,0.0,71,87,34
2018-09-04,94,20,0.0,91,89,89
2018-09-05,94,0,0.0,90,90,89
2018-09-06,92,0,0.0,92,92,66
2018-09-07,93,42,0.0,79,100,56
2018-09-08,89,0,0.0,65,91,30
2018-09-09,86,0,0.0,68,80,46
2018-09-10,93,39,0.0,90,88,91
2018-09-11,94,39,100.0,98,91,89
2018-09-12,90,0,0.0,94,92,69
2018-09-13,93,60,0.0,88,88,50
2018-09-14,90,0,0.0,80,88,76
2018-09-15,85,69,0.0,59,81,46
2018-09-16,87,23,0.0,68,79,26
2018-09-17,99,60,0.0,92,93,100
2018-09-18,100,39,0.0,100,91,65
2018-09-19,99,40,0.0,89,92,76
2018-09-20,94,0,0.0,90,95,72
2018-09-21,93,0,0.0,84,90,48
2018-09-22,83,23,0.0,63,84,23
2018-09-23,82,22,0.0,69,74,37
2018-09-24,95,100,0.0,94,96,86
2018-09-25,96,20,0.0,99,95,88
2018-09-26,94,39,0.0,98,92,79
2018-09-27,93,40,0.0,95,92,94
2018-09-28,92,0,0.0,86,81,65
2018-09-29,83,0,0.0,61,78,19
2018-09-30,86,0,0.0,72,79,26
2018-10-01,91,25,0.0,96,92,40
2018-10-02,95,74,0.0,96,93,49
2018-10-03,92,25,0.0,95,87,63
2018-10-04,95,50,0.0,96,92,55
2018-10-05,89,0,0.0,83,89,29
2018-10-06,82,0,0.0,61,77,18
2018-10-07,81,0,0.0,66,70,22
2018-10-08,88,50,0.0,89,91,68
2018-10-09,95,71,93.0,99,91,50
2018-10-10,91,25,0.0,97,90,59
2018-10-11,94,51,0.0,96,91,63
2018-10-12,86,27,0.0,86,93,51
2018-10-13,87,0,0.0,61,81,13
2018-10-14,86,29,0.0,68,76,16
2018-10-15,93,50,0.0,95,95,59
2018-10-16,100,25,0.0,100,98,50
2018-10-17,91,25,0.0,92,96,59
2018-10-18,90,0,100.0,89,91,72
2018-10-19,83,80,0.0,80,92,41
2018-10-20,81,0,0.0,57,76,24
2018-10-21,85,0,0.0,67,72,31
2018-10-22,92,50,0.0,93,92,86
2018-10-23,92,0,0.0,95,92,70
2018-10-24,88,0,0.0,96,96,81
2018-10-25,89,100,98.0,94,100,100
2018-10-26,83,26,0.0,80,90,45
2018-10-27,76,0,0.0,56,78,22
