Date,homes,site,property,building,Barratt Developments,developments
2018-02-26,92,98,97,97,63,94
2018-02-27,85,96,98,100,0,98
2018-02-28,86,99,95,93,0,73
2018-03-01,85,95,90,88,0,73
2018-03-02,84,90,85,82,98,63
2018-03-03,91,86,73,68,0,34
2018-03-04,96,85,72,72,53,62
2018-03-05,86,95,93,93,46,87
2018-03-06,86,96,95,93,0,100
2018-03-07,85,98,94,94,47,92
2018-03-08,88,97,92,93,0,73
2018-03-09,85,93,92,87,50,70
2018-03-10,93,88,71,69,55,64
2018-03-11,100,86,76,69,0,78
2018-03-12,90,95,100,93,94,95
2018-03-13,88,97,98,94,0,93
2018-03-14,81,98,91,95,0,92
2018-03-15,83,96,94,95,48,90
2018-03-16,81,91,83,83,49,81
2018-03-17,83,85,70,70,0,50
2018-03-18,96,84,72,71,0,69
2018-03-19,93,94,96,96,48,91
2018-03-20,88,95,96,100,47,85
2018-03-21,88,100,94,95,48,84
2018-03-22,88,96,95,92,0,91
2018-03-23,83,92,90,89,100,87
2018-03-24,91,85,74,69,0,63
2018-03-25,99,83,77,69,0,43
2018-03-26,89,100,97,96,0,97
2018-03-27,94,95,99,98,0,93
2018-03-28,87,97,95,95,0,86
2018-03-29,84,91,93,93,0,82
2018-03-30,86,88,84,82,0,65
2018-03-31,86,81,69,67,0,38
2018-04-01,90,78,65,65,0,43
2018-04-02,94,94,89,91,0,58
2018-04-03,90,94,97,94,43,72
2018-04-04,89,89,92,91,86,72
2018-04-05,86,89,93,91,88,93
2018-04-06,83,87,95,88,0,67
2018-04-07,96,81,73,71,0,49
2018-04-08,100,88,75,70,100,64
2018-04-09,93,96,95,95,0,94
2018-04-10,88,93,97,93,86,86
2018-04-11,83,91,92,90,0,62
2018-04-12,81,91,94,93,0,74
2018-04-13,82,88,84,89,45,82
2018-04-14,90,87,66,66,0,65
2018-04-15,99,86,76,68,0,71
2018-04-16,86,94,96,96,43,100
2018-04-17,88,99,97,100,0,90
2018-04-18,85,100,88,96,44,77
2018-04-19,88,97,90,100,0,91
2018-04-20,84,89,83,84,92,67
2018-04-21,90,79,65,67,0,51
2018-04-22,94,78,70,69,0,65
2018-04-23,91,90,94,94,0,69
2018-04-24,85,92,90,94,0,83
2018-04-25,86,93,90,93,0,76
2018-04-26,81,88,88,90,0,79
2018-04-27,82,89,83,87,46,87
2018-04-28,85,80,67,67,0,47
2018-04-29,92,87,67,67,50,58
2018-04-30,91,88,100,95,0,89
2018-05-01,95,93,98,100,0,80
2018-05-02,91,99,99,96,95,95
2018-05-03,90,100,92,92,48,100
2018-05-04,88,96,92,85,49,63
2018-05-05,90,86,68,66,0,48
2018-05-06,95,87,69,60,0,54
2018-05-07,89,98,93,91,0,70
2018-05-08,91,97,97,93,47,98
2018-05-09,90,97,98,92,0,87
2018-05-10,89,98,93,98,0,91
2018-05-11,84,91,90,86,49,74
2018-05-12,86,82,69,65,0,55
2018-05-13,90,84,67,65,0,51
2018-05-14,89,99,95,94,0,80
2018-05-15,86,98,96,90,0,81
2018-05-16,88,99,92,95,0,84
2018-05-17,88,95,92,92,0,66
2018-05-18,86,89,84,88,100,60
2018-05-19,81,85,60,65,0,33
2018-05-20,99,85,70,66,0,58
2018-05-21,93,97,97,94,48,68
2018-05-22,92,98,94,94,0,89
2018-05-23,85,99,92,89,48,89
2018-05-24,83,96,92,90,0,74
2018-05-25,85,94,81,81,51,80
2018-05-26,88,87,65,64,0,39
