Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2018-03-27,21,43,88,43,81,60
2018-03-28,24,43,92,69,84,63
2018-03-29,30,73,89,18,90,70
2018-03-30,43,78,95,77,93,87
2018-03-31,100,76,100,40,86,92
2018-04-01,84,93,96,67,89,93
2018-04-02,63,86,91,40,83,68
2018-04-03,38,53,85,57,81,63
2018-04-04,29,50,85,65,80,62
2018-04-05,30,51,86,58,84,66
2018-04-06,47,74,91,50,90,76
2018-04-07,100,85,95,65,95,95
2018-04-08,65,84,98,44,94,83
2018-04-09,34,56,88,66,79,59
2018-04-10,28,48,84,37,80,53
2018-04-11,29,43,86,9,79,60
2018-04-12,36,52,84,28,82,58
2018-04-13,42,75,88,79,87,75
2018-04-14,53,97,94,100,94,94
2018-04-15,49,91,100,76,100,82
2018-04-16,28,45,88,56,83,56
2018-04-17,31,45,88,38,80,59
2018-04-18,26,48,86,38,81,58
2018-04-19,25,52,88,49,81,64
2018-04-20,42,65,87,60,85,73
2018-04-21,47,80,99,100,96,98
2018-04-22,41,67,94,76,93,84
2018-04-23,24,46,82,46,83,59
2018-04-24,28,40,87,46,81,57
2018-04-25,29,53,87,38,84,61
2018-04-26,28,50,87,47,75,61
2018-04-27,46,80,87,60,89,74
2018-04-28,67,100,100,34,96,100
2018-04-29,41,87,97,44,94,84
2018-04-30,28,53,90,68,85,62
2018-05-01,57,60,88,19,78,63
2018-05-02,47,53,87,18,73,56
2018-05-03,54,52,88,100,79,57
2018-05-04,72,74,91,28,82,66
2018-05-05,75,92,93,42,83,88
2018-05-06,67,94,95,72,90,80
2018-05-07,60,64,87,9,76,57
2018-05-08,37,48,85,54,85,57
2018-05-09,45,47,87,45,86,59
2018-05-10,44,53,87,55,87,63
2018-05-11,75,73,88,83,91,72
2018-05-12,100,100,96,21,98,92
2018-05-13,78,85,91,31,100,90
2018-05-14,45,50,86,45,75,56
2018-05-15,42,48,86,44,74,54
2018-05-16,44,47,88,27,71,55
2018-05-17,49,46,87,63,74,56
2018-05-18,72,69,91,9,75,71
2018-05-19,72,89,93,94,86,90
2018-05-20,64,90,97,53,85,86
2018-05-21,41,49,88,45,74,67
2018-05-22,34,48,88,18,66,66
2018-05-23,41,45,87,18,69,65
2018-05-24,57,60,88,45,73,66
2018-05-25,74,83,89,19,77,79
2018-05-26,87,91,95,53,78,99
2018-05-27,78,100,100,74,84,100
2018-05-28,59,60,89,46,74,81
2018-05-29,47,52,85,35,74,64
2018-05-30,49,50,85,54,74,68
