,Date,Open,High,Low,Close,Volume,spill,BP,gas,British Petroleum,oil,petroleum
200,2017-10-17,389.2797764276162,391.45584992820073,387.22239301553685,388.2115173339844,24299938,84,95,84,17,94,84
201,2017-10-18,388.2511751186904,391.09353181746496,385.5607610921391,386.15423583984375,23446693,88,86,84,34,92,85
202,2017-10-19,386.7476055032963,389.5938976422337,385.2836966936776,389.4380187988281,45844585,77,90,84,35,94,84
203,2017-10-20,389.7545436824127,390.8623822575229,387.5151768111574,389.2402038574219,25563070,83,91,76,53,92,70
204,2017-10-23,388.211596213055,389.7150606528692,385.3629127674057,388.4885559082031,19505181,75,98,86,50,94,92
205,2017-10-24,387.0245865067397,393.8297669701072,387.0245865067397,392.682373046875,27825667,100,98,88,67,95,86
206,2017-10-25,391.2185280340461,392.1680972392512,385.0464006458576,385.9563903808594,23396930,91,99,84,67,92,83
207,2017-10-26,386.23335194785375,388.52811603156886,385.34710023126433,387.73681640625,24942966,90,100,86,86,94,83
208,2017-10-27,386.2728665753198,393.9880371093749,386.2728665753198,393.988037109375,29230632,73,97,81,36,98,77
209,2017-10-30,393.9880147212533,399.0919061362518,393.0962331317661,396.9158325195313,37583751,87,100,94,34,90,96
210,2017-10-31,413.0583638200064,413.2285144734494,396.8565007542538,403.7210388183594,60142668,71,97,88,34,91,88
211,2017-11-01,411.3965912092231,411.3965912092231,405.22441704406,406.7279052734375,42364725,37,81,100,57,90,92
212,2017-11-02,405.6200819941107,411.159178188396,403.2462077736743,409.9722290039063,35127658,41,96,99,14,96,76
213,2017-11-03,410.2888224289087,412.50445154056246,407.0445135472471,408.943603515625,24993131,34,93,91,100,97,77
214,2017-11-06,408.7062931571048,413.21671108563527,407.6776132112892,412.3462524414063,28250645,36,89,96,81,99,94
215,2017-11-07,415.3531853531874,418.5974944411712,413.5331576092452,415.1949157714844,37769979,36,93,98,54,99,99
216,2017-11-08,415.4322511480922,416.144440040325,412.6627028071049,414.7200622558594,29735225,45,94,96,81,99,100
217,2017-11-09,416.2801354364092,417.8855351858638,412.74828538335646,413.0693359375,34898362,42,93,93,27,99,95
218,2017-11-10,414.193092286807,415.39714197368727,406.88851928710943,406.8885192871094,24431441,37,97,93,42,98,90
219,2017-11-13,408.25311873082177,414.8753675122096,406.745631473316,406.8885192871094,22127206,32,86,98,27,98,84
220,2017-11-14,406.16609498283736,407.77149456774976,402.9552958130126,403.7579956054688,25618864,34,88,98,13,99,80
221,2017-11-15,401.1492192586263,401.9117938561986,395.85139575582,397.3363952636719,32667416,40,89,97,40,98,96
222,2017-11-16,399.4234257101356,401.5104500911551,393.6841270346725,394.2460021972656,31845429,50,89,96,27,99,93
223,2017-11-17,393.44327473523634,397.37649858267486,391.7576003730621,395.8112487792969,21826848,100,89,89,71,99,77
224,2017-11-20,393.9650037333604,397.17580253965167,393.32285377068246,394.9282531738281,20892430,49,91,95,40,98,83
225,2017-11-21,395.0486451562565,399.86484326726594,394.48677007450897,396.7744445800781,34930127,44,96,95,40,99,81
226,2017-11-22,398.9418761668598,400.9887512459937,397.6174261452756,399.6241760253906,41355266,41,100,92,27,95,77
227,2017-11-23,399.1023520851799,402.8750264636289,397.6173525494647,402.07232666015625,22042538,33,91,84,28,92,58
228,2017-11-24,402.4737075029968,402.714532160425,399.3030577334012,402.3934326171875,21135966,38,87,81,28,86,60
