,Date,Open,High,Low,Close,Volume,homes,site,property,building,Barratt Developments,developments
223,2017-11-17,543.1685213761276,548.3621646084093,541.437306965367,542.7357177734375,3796402,79,83,86,85,0,70
224,2017-11-20,545.3324998611523,550.5261427169728,544.4668927185155,547.9293212890625,3943725,82,87,90,92,25,61
225,2017-11-21,548.3621826171875,549.660593467899,545.3325572988605,548.3621826171875,4700080,80,90,88,91,25,81
226,2017-11-22,547.9292877697553,548.3620913145973,528.0203247070312,528.0203247070312,11642973,75,91,83,82,25,62
227,2017-11-23,528.0203743410955,541.0044819068602,523.6923384858407,537.5420532226562,7369551,64,100,72,70,0,50
228,2017-11-24,535.3779857422688,536.2435928332022,519.7970581054688,519.7970581054688,11895246,67,98,63,66,0,43
229,2017-11-27,520.2298583984375,524.9906973688059,518.4986442273945,520.2298583984375,3836785,87,88,87,84,0,66
230,2017-11-28,521.0955666934743,521.5283703202961,511.57388690339417,515.0363159179688,13102579,81,95,92,90,0,76
231,2017-11-29,518.4987131504002,533.2140355603449,517.6331059498153,527.15478515625,6080928,79,88,95,89,0,75
232,2017-11-30,529.7516267984221,530.1844304150875,521.0955544651146,524.5579833984375,6609015,81,89,92,87,25,57
233,2017-12-01,523.6922867405236,526.2891079970882,515.0362158853084,520.2298583984375,4867318,80,87,74,87,0,82
234,2017-12-04,525.423465134384,528.0202862141256,521.9610370280618,524.9906616210938,3020356,87,96,82,99,0,87
235,2017-12-05,530.1843197052325,535.3779620207124,525.8562844423327,531.0499267578125,9217103,83,100,83,99,0,87
236,2017-12-06,531.0500655603487,534.0796910362432,525.4236182479734,528.8860473632812,3361340,83,94,81,100,50,82
237,2017-12-07,529.7515519794665,530.1843555350052,523.6923022019236,526.2891235351562,3071374,83,99,81,97,50,94
238,2017-12-08,530.1843939887153,552.2573769221231,529.7515904017857,545.33251953125,8425099,80,84,73,84,52,75
239,2017-12-11,549.227703458944,549.227703458944,539.2732218359686,543.6012573242188,6054430,82,91,81,96,0,98
240,2017-12-12,545.7653067004538,549.2277352917336,537.9748423700747,547.4965209960938,5402932,79,92,78,95,49,68
241,2017-12-13,550.9589619896542,550.9589619896542,534.5124258108586,540.6417846679688,12969333,79,85,75,90,49,89
242,2017-12-14,545.33251953125,554.8541984437004,543.1685015966023,545.33251953125,9635466,79,92,75,89,100,100
243,2017-12-15,545.3325427177898,545.3325427177898,535.8108634004951,542.3029174804688,6206493,75,85,71,82,0,76
244,2017-12-18,545.3325050692956,555.7197908801393,542.3028800411328,555.2869873046875,3014788,78,88,74,85,0,71
