,Date,Open,High,Low,Close,Volume,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
233,2017-12-08,4580.0,4896.0,4580.0,4877.64892578125,1276,67,86,82,48,89,49
234,2017-12-11,4877.64892578125,4877.64892578125,4877.64892578125,4877.64892578125,0,49,48,80,6,82,43
235,2017-12-18,4930.27685546875,4930.27685546875,4930.27685546875,4900.0,65,45,45,82,20,87,46
236,2017-12-19,4940.27001953125,4940.27001953125,4940.27001953125,4900.0,226,45,45,84,20,91,48
237,2017-12-20,4997.77294921875,5002.0341796875,4992.27294921875,4900.0,743,54,49,83,48,90,48
238,2017-12-21,4844.26904296875,4869.77099609375,4844.26904296875,4997.5,1253,59,60,82,28,92,50
239,2017-12-22,4997.5,4997.5,4997.5,4997.5,0,81,81,80,30,95,53
240,2017-12-27,4847.0,4847.0,4847.0,4772.5,2,74,80,82,28,81,63
241,2017-12-28,4979.26904296875,4979.26904296875,4979.26904296875,4772.5,104,63,61,83,35,86,67
242,2017-12-29,4975.81201171875,4975.81201171875,4971.06298828125,4979.0,3704,78,74,87,36,90,67
243,2018-01-02,5081.66015625,5090.0,5020.0,5088.0,4016,49,40,84,20,87,67
244,2018-01-03,4995.0,5020.0,4995.0,5088.0,107,48,36,83,40,80,62
245,2018-01-04,5009.0,5009.0,5009.0,5030.0,55,45,32,83,49,83,63
246,2018-01-05,5020.0,5020.0,5020.0,5030.0,66,55,41,85,61,86,72
247,2018-01-08,5030.0,5030.0,5030.0,5030.0,0,34,29,82,39,75,55
248,2018-01-09,5032.5,5130.0,4970.25,4962.5,16437,40,27,81,10,77,58
249,2018-01-10,4767.5,4767.5,4755.0,4710.0,99911,38,28,84,20,75,60
250,2018-01-11,4702.5,4747.5,4702.5,4702.5,759,37,30,81,49,77,61
251,2018-01-12,4650.0,4650.0,4650.0,4605.0,18005,60,50,82,80,84,71
252,2018-01-15,4635.0,4635.0,4635.0,4615.0,5000,32,29,83,39,77,66
253,2018-01-16,4650.0,4650.0,4610.0,4640.0,30856,33,29,81,48,80,57
254,2018-01-17,4582.06298828125,4582.06298828125,4582.06298828125,4620.0,1956,32,29,79,0,75,56
255,2018-01-18,4650.0,4650.0,4650.0,4670.0,58622,34,33,86,68,74,61
256,2018-01-19,4655.0,4655.0,4640.0,4650.0,55742,59,49,86,60,80,73
257,2018-01-22,4790.0,4962.0341796875,4744.30419921875,5122.5,99127,29,29,83,19,74,57
258,2018-01-23,4990.0,5010.0,4980.0,5025.0,32996,35,29,80,57,72,58
259,2018-01-24,5020.0,5030.0,4910.0,4917.5,16852,37,31,80,57,74,59
