,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
112,2017-06-14,4592.81204672099,4727.427593883985,4584.085442034079,4625.97314453125,1359999,96,25,0.0,98,95,38
113,2017-06-15,4619.863912327868,4727.242893990707,4553.541725448964,4610.2646484375,1617496,92,0,0.0,88,92,69
114,2017-06-16,4615.500508703309,4682.077504118584,4594.556660677428,4611.13720703125,3878930,92,26,0.0,86,90,91
115,2017-06-19,4643.426367753994,4673.096823777982,4609.392609373538,4663.49755859375,1092740,93,100,98.0,92,93,76
116,2017-06-20,4680.950757160496,4800.7199977377495,4653.461952378514,4726.3291015625,314224,97,73,0.0,100,95,60
117,2017-06-21,4734.182721173322,4793.195529153788,4645.404438143571,4712.3662109375,703473,95,0,0.0,94,93,64
118,2017-06-22,4731.5644900031775,4817.085205610022,4693.167434016431,4806.61328125,457117,94,49,0.0,95,100,92
119,2017-06-23,4783.051600777778,4784.40490614911,4712.366109140668,4713.23876953125,364097,91,77,0.0,80,91,57
120,2017-06-26,4726.328855547864,4816.212879203963,4719.347572157099,4744.9052734375,336056,90,26,0.0,86,92,93
121,2017-06-27,4727.2016987793495,4733.310321982498,4653.025559883975,4680.9775390625,573885,97,79,0.0,90,93,69
122,2017-06-28,4642.5535581166505,4700.021742355596,4555.239364069427,4572.74072265625,297734,91,26,0.0,88,92,90
123,2017-06-29,4570.995699158305,4639.063218160663,4478.493686155101,4511.65478515625,368476,95,0,0.0,85,90,84
124,2017-06-30,4495.07340526488,4588.880130651283,4460.166991712056,4481.11083984375,480391,84,0,0.0,75,91,92
125,2017-07-03,4492.45550483912,4513.399353346528,4461.039732078008,4505.54541015625,1893543,88,0,0.0,81,84,21
126,2017-07-04,4488.092614371117,4585.796494731183,4455.804178296505,4460.16748046875,778672,89,26,0.0,79,79,27
127,2017-07-05,4466.275713633129,4576.086043520538,4433.987280377087,4522.1259765625,1820722,100,26,0.0,92,89,14
128,2017-07-06,4527.362458680215,4534.343742348188,4445.916989912132,4454.931640625,1392599,98,79,0.0,90,95,17
129,2017-07-07,4450.56823373538,4522.819234314486,4429.624383223684,4476.748046875,1791173,90,27,53.0,85,91,23
130,2017-07-10,4497.691897386696,4552.680157573135,4476.748046875,4476.748046875,1285405,100,0,0.0,94,95,24
131,2017-07-11,4476.748046875,4476.748046875,4476.748046875,4476.748046875,0,97,51,100.0,93,93,19
132,2017-07-12,4436.605221223757,4607.503479055336,4424.387976318735,4530.8525390625,1512726,94,25,0.0,100,90,30
133,2017-07-13,4383.373088173873,4446.27792536235,4294.361729425369,4374.646484375,5115469,93,77,0.0,93,95,37
134,2017-07-14,4276.035632955512,4409.881615983399,4254.2191246241055,4361.99267578125,4716431,94,0,0.0,88,96,36
135,2017-07-17,4406.934611002604,4494.827015300592,4377.26416015625,4398.2080078125,2218181,94,51,0.0,93,89,27
136,2017-07-18,4396.463152248964,4465.40332474354,4382.500585667785,4423.515625,2155503,95,77,0.0,100,92,27
137,2017-07-19,4424.38818359375,4511.731773592499,4387.736447161612,4424.38818359375,1447913,99,0,0.0,96,91,24
138,2017-07-20,4418.279536964882,4502.080074189627,4413.916235032269,4470.63916015625,1255749,97,25,0.0,90,100,18
139,2017-07-21,4481.110575895132,4569.837287969655,4468.02067158385,4495.94580078125,1928163,89,0,0.0,85,89,24
140,2017-07-24,4491.583546754489,4498.250792214153,4411.2987815900415,4440.96923828125,3063730,94,50,0.0,95,89,22
141,2017-07-25,4456.676841512372,4506.45257460525,4430.497028462564,4439.2236328125,1337928,98,0,0.0,91,92,24
142,2017-07-26,4431.369968783615,4543.611663286592,4426.13400584295,4461.9130859375,2211986,94,100,0.0,100,93,24
143,2017-07-27,3792.582216627529,4308.987546499837,3717.533419888006,3774.25634765625,14342374,89,25,0.0,90,93,100
144,2017-07-28,3837.524401668884,3919.990815758186,3769.020555044436,3910.827880859375,5745240,91,79,0.0,84,87,51
145,2017-07-31,3997.6569825821775,4084.223353579937,3727.1889513369647,3987.18505859375,5278785,93,50,49.0,90,92,26
146,2017-08-01,3980.203508338844,4024.3734126218446,3886.828859053104,3918.24462890625,3682500,94,95,0.0,84,100,68
147,2017-08-02,3902.537674479167,3985.288727312088,3883.339143880208,3926.97216796875,3632462,99,0,100.0,82,95,100
148,2017-08-03,3932.2074376515575,4021.9274015131614,3904.7361075724752,3981.076416015625,2576853,90,0,0.0,84,90,56
149,2017-08-04,3984.130891306052,4020.136653390076,3933.5165902008607,3956.64208984375,3240395,86,33,0.0,74,93,38
150,2017-08-07,3964.495655854245,4036.352923647324,3946.169789956613,3953.58740234375,1610358,91,63,0.0,77,96,74
151,2017-08-08,3967.986551617448,4030.388583360484,3957.514627575352,3982.82177734375,2449056,100,62,0.0,82,97,50
152,2017-08-09,3987.1851213356153,4044.03970987073,3930.0258686659977,3932.20751953125,2597332,92,32,0.0,86,90,41
153,2017-08-10,3959.148871261199,3999.382776604148,3919.118777202695,3922.814208984375,2599166,96,98,0.0,85,90,45
154,2017-08-11,3923.6998429959694,3970.225928090784,3859.449535007894,3885.149658203125,1863007,90,100,0.0,75,91,31
155,2017-08-14,3901.1019603218897,3960.8891989716058,3881.605312632866,3908.191650390625,1616913,96,33,0.0,78,87,55
156,2017-08-15,3922.370947807977,3957.495722595749,3915.650801052272,3949.400390625,1131300,93,67,0.0,81,90,59
157,2017-08-16,3968.010549279519,4030.588395714826,3937.4362636401793,3959.1484375,1647478,92,65,0.0,89,90,47
158,2017-08-17,3967.124598265811,4078.9866980827696,3958.2624859051143,3971.112548828125,1490866,93,0,0.0,80,88,54
159,2017-08-18,3967.567537136605,3988.369700691821,3915.724182005381,3940.981201171875,1751203,87,33,0.0,75,88,64
160,2017-08-21,3922.3702061568088,4253.813147210276,3888.694185408061,3915.280517578125,1656374,91,31,0.0,82,84,36
161,2017-08-22,3930.7895217916152,3985.658453845848,3915.723932372056,3929.460205078125,1492605,91,64,0.0,86,92,51
162,2017-08-23,3937.4360640512023,4027.460921941849,3934.334325085599,3983.51904296875,1680608,90,32,0.0,89,95,47
163,2017-08-24,3983.076305871336,4085.835265662022,3980.4176722263,4022.955810546875,2191827,89,64,0.0,89,91,47
164,2017-08-25,4032.261464542,4090.4749027463454,3983.519842443141,3986.62158203125,2060172,84,68,0.0,72,82,41
165,2017-08-29,3973.7711404093143,3988.8367312627847,3928.131262235568,3980.417724609375,2128040,92,31,0.0,91,86,48
166,2017-08-30,3983.519455425504,4032.9343856139694,3931.676098775361,3946.298583984375,1668999,90,64,0.0,100,90,61
167,2017-08-31,3962.693957172756,4067.1111146477033,3946.7421532525705,4024.28564453125,2513473,85,64,0.0,86,92,76
168,2017-09-01,4015.865923231661,4170.081812266961,4003.902072417664,4069.9248046875,2000018,87,0,0.0,72,91,61
169,2017-09-04,4061.949424523005,4073.4701712272263,4037.578614187152,4060.177001953125,982667,89,0,0.0,74,89,62
170,2017-09-05,4053.973125260502,4165.6586703852745,4046.883435676485,4053.0869140625,1984764,94,83,95.0,85,89,62
171,2017-09-06,4070.810705954503,4085.433189169535,4015.4225119581697,4055.7451171875,2481588,100,83,0.0,89,87,85
172,2017-09-07,4069.9246511151714,4300.873091094654,4057.074589614645,4230.77197265625,4340411,97,43,0.0,93,94,76
173,2017-09-08,4242.2925385732,4321.724401107661,4178.7778582284245,4244.951171875,3046788,88,43,0.0,100,87,100
174,2017-09-11,4351.296977848607,4432.47660637053,4312.303685175421,4333.57275390625,4695044,97,41,0.0,92,90,62
175,2017-09-12,4358.3863657994925,4437.449553808222,4323.381025935914,4364.58984375,3387022,94,82,0.0,88,95,81
176,2017-09-13,4387.631509039476,4397.379831923628,4289.705174612318,4294.13623046875,4588520,97,41,0.0,95,93,66
