,Date,Open,High,Low,Close,Volume,bank,capital,Barclays,banking,business,London
409,2018-08-15,169.6275029742595,169.70078578758665,164.18639036307923,164.69935607910156,94325775,76,97,82,65,88,89
410,2018-08-16,165.43213521808477,167.09927344227415,164.88252122310195,166.87942504882812,37612805,87,97,77,75,92,87
411,2018-08-17,167.04434224431273,168.71148074202074,166.29320392641856,167.26419067382812,24124066,84,92,81,70,83,84
412,2018-08-20,167.79544469010855,169.48092114192983,167.4840032718837,168.29010009765625,28754161,89,94,90,75,93,86
413,2018-08-21,167.42904089131866,169.77403453822757,167.35575809269469,168.91297912597656,28271396,86,98,74,76,95,84
414,2018-08-22,168.43666646261102,170.28700476323715,168.32673527306542,169.6457977294922,31380373,75,94,83,65,93,85
415,2018-08-23,169.79237197438124,170.06717899633736,167.75881958007815,167.75881958007812,48603130,82,98,82,72,92,83
416,2018-08-24,167.04433207110648,169.46260873943262,167.04433207110648,168.2351531982422,27437058,85,93,82,74,84,84
417,2018-08-28,169.46259532486312,169.9572367504094,167.57560866193242,168.2717742919922,27523590,85,97,100,82,100,84
418,2018-08-29,168.12522032830756,168.5282687652283,164.91917100568543,166.20159912109375,38206958,80,99,79,78,96,82
419,2018-08-30,166.14665802008585,166.14665802008585,163.23372563182411,163.32533264160156,39664086,85,98,79,83,95,82
420,2018-08-31,163.78331367483085,163.85659647553862,160.46733333481328,160.94366455078125,55999433,100,95,89,100,84,81
421,2018-09-03,162.04287114116917,162.86729212819978,161.43831252339737,162.61080932617188,42328205,82,84,74,94,83,98
422,2018-09-04,163.71004400918483,165.89016207904848,163.05051272716332,165.81687927246094,46907935,95,100,64,94,94,95
423,2018-09-05,165.10238316723962,165.39550040529394,162.81234796229867,163.05050659179688,87522028,94,94,62,91,99,93
424,2018-09-06,162.81234182360564,163.63674887539457,161.16351374276258,161.40167236328125,56094829,93,94,59,89,96,96
425,2018-09-07,161.41999719024537,161.47495579694458,157.93914100088787,159.84445190429688,55377621,98,90,64,89,89,95
426,2018-09-10,159.97271522827532,162.37266789803095,158.92845962613376,161.95130920410156,108272589,93,100,66,90,98,98
427,2018-09-11,161.74976303886504,161.95128724856028,159.11163809541085,160.06430053710938,46928387,89,97,65,87,97,98
