,Date,Open,High,Low,Close,Volume,government,aircraft,Airbus,defence,BAE Systems,aerospace
164,2017-08-25,496.2562407683053,497.2824116549229,491.3306205125404,491.7410888671875,9979561,90,66,74,89,43,65
165,2017-08-29,488.0469378455211,489.2783430713719,481.4794433076504,484.3527221679688,9231513,96,84,79,90,59,89
166,2017-08-30,488.04687920059536,496.66671474576987,485.5840690448312,495.02484130859375,6294283,100,71,73,91,71,100
167,2017-08-31,496.256245026765,500.7713969666281,494.6143715940876,498.7190551757813,8577361,92,72,82,86,86,86
168,2017-09-01,500.3608870822616,502.5568825950164,498.3085454617437,501.1818237304688,6427083,74,63,95,58,64,77
169,2017-09-04,498.71908998095296,500.3609635282154,495.02487449961257,496.666748046875,3849628,65,61,86,85,46,57
170,2017-09-05,496.2562038412258,501.1818237304688,493.3829255725008,501.1818237304688,6648434,84,60,89,98,79,87
171,2017-09-06,498.71905933726913,498.71905933726913,487.22594521262425,487.6364135742188,8477100,93,66,71,100,55,77
172,2017-09-07,487.63639281919086,490.5096712280581,485.17358275444747,488.8677978515625,4957411,93,71,90,77,66,89
173,2017-09-08,487.22602074299385,492.9725786961546,485.9946154673165,492.1516418457031,6921141,87,67,84,68,46,67
174,2017-09-11,492.9725454928985,496.256292673534,489.68879831226303,490.5097351074219,3737085,89,61,77,68,35,74
175,2017-09-12,491.74114467075896,492.1688495380538,487.2259922572545,488.4573974609375,6487701,95,66,88,66,59,86
176,2017-09-13,487.6364274692375,488.0468958425281,481.0689334965878,486.81549072265625,10779209,93,72,82,73,55,91
177,2017-09-14,486.8154492474242,489.68872761566365,480.9982931592983,489.27825927734375,13431385,90,61,85,70,47,86
178,2017-09-15,488.8677909390239,497.4876260437421,485.9945125707844,489.27825927734375,15994115,83,60,79,68,50,75
179,2017-09-18,495.43538406532167,511.4436524816825,493.13511743102464,508.57037353515625,20459803,97,71,91,73,96,88
180,2017-09-19,507.3389871987952,512.2646084337349,505.6971134538153,511.033203125,8087181,100,60,83,68,90,98
181,2017-09-20,511.8540108131176,513.9063524763618,504.99344751055247,511.4435424804688,10859024,95,71,92,68,44,88
182,2017-09-21,512.2645180221582,516.3692016601562,510.2121762031591,516.3692016601562,8823513,91,100,93,63,100,86
183,2017-09-22,515.1378158376186,519.652968008307,512.2645371835442,518.83203125,12354911,82,66,79,61,75,74
184,2017-09-25,519.6529803212284,522.9367274322631,515.9587648213145,521.705322265625,6965988,92,69,83,64,91,68
185,2017-09-26,522.1157712913785,522.1157712913785,513.0854670709301,519.2424926757812,13378894,94,68,80,68,70,97
186,2017-09-27,518.8319297990187,521.2947395923684,514.3167785112107,517.6005249023438,10981169,95,73,100,63,55,85
187,2017-09-28,518.4215628708465,522.1157782832279,516.7796893542326,518.83203125,7561205,96,65,92,65,81,100
188,2017-09-29,521.7051940579689,524.5784720740239,515.5481697378514,518.4214477539062,10883326,83,65,82,64,54,74
189,2017-10-02,519.2423980979103,520.8842712934768,513.4958419134275,517.6005249023438,7403376,92,81,61,100,17,74
190,2017-10-03,512.6749892204039,512.6749892204039,503.2342168008128,508.9807739257813,11466624,96,83,49,88,29,98
191,2017-10-04,510.622647390058,514.7273310507497,507.0720860023592,508.9807739257813,17051397,100,87,53,85,35,87
192,2017-10-05,508.9808131272231,509.39128152490633,502.002850366608,504.8761291503906,6924772,90,82,47,82,26,87
193,2017-10-06,504.4656887085558,507.4842750757908,501.18194134511526,503.2342834472656,8597857,87,92,78,80,26,83
194,2017-10-09,500.7714572372992,508.1598885735872,499.1295836070129,507.7494201660156,16051472,84,83,57,81,63,91
195,2017-10-10,506.5179512661256,508.1598246900028,500.6277403791661,506.10748291015625,9634582,90,90,55,81,100,80
196,2017-10-11,506.5180027411236,508.57034472953984,501.4692214072175,504.8761291503906,11553677,95,78,52,90,32,99
197,2017-10-12,505.2865226299732,507.3388643140917,503.2341809458548,505.6969909667969,9395632,100,74,52,88,21,80
