,Date,Open,High,Low,Close,Volume,Legal & General,assurance,insurance,business,pensions,investment
175,2017-09-12,196.97046393126308,197.58052968902155,195.4453344443106,196.89422607421875,9504838,61,92,91,95,77,90
176,2017-09-13,196.36042810951648,197.12299287887384,195.14031982421875,195.14031982421875,16004536,37,84,93,96,93,91
177,2017-09-14,194.83531453290323,195.21659694881888,193.23392373173107,193.69146728515625,14521492,62,91,87,95,85,86
178,2017-09-15,193.69146146072785,193.69146146072785,190.5878171033113,191.78504943847656,22892923,13,80,89,84,86,74
179,2017-09-18,193.2339127258963,194.1489997806269,191.7545468104877,194.0727386474609,12255392,50,93,93,97,81,93
180,2017-09-19,193.6914431192632,195.44533270499863,193.6914431192632,195.3690948486328,12225788,25,86,94,100,82,93
181,2017-09-20,195.90287815663083,196.36042165753736,194.98780279063243,195.6741180419922,20185957,49,86,93,96,100,88
182,2017-09-21,196.13167808035232,197.4280242919922,196.13167808035232,197.4280242919922,16134029,13,79,93,92,83,81
183,2017-09-22,196.5891896560788,198.114319205844,195.3691046335708,197.88555908203125,11070860,26,78,87,89,86,76
184,2017-09-25,197.3517441968842,197.3708269325708,195.06406162668392,195.5978546142578,11251577,25,93,90,96,96,90
185,2017-09-26,195.59786369794475,195.90288495191965,194.1489952878415,194.91156005859372,9259212,73,91,88,94,83,100
186,2017-09-27,194.7590493571996,198.03809202906467,194.7590493571996,197.7330474853516,17342778,37,81,91,95,91,85
187,2017-09-28,198.72436339281435,198.72436339281435,196.1316480942969,197.19923400878903,10948114,100,90,88,95,82,85
188,2017-09-29,197.80928465478755,199.4106752287321,197.48520395589705,198.1905670166016,12514790,40,84,85,85,86,76
189,2017-10-02,197.88555856458888,200.42488901879065,197.7704105391905,200.3257751464844,16211369,0,94,89,90,90,80
190,2017-10-03,200.5545420929157,200.5545420929157,198.99129356396165,199.56321716308597,14510122,64,100,100,98,75,91
191,2017-10-04,199.86824912451792,200.02074812946708,197.8626998727981,199.41070556640625,14612962,13,93,93,95,65,88
192,2017-10-05,199.7919723378774,200.5415748197457,198.72438630032167,199.6394500732422,10261573,39,94,94,92,56,84
193,2017-10-06,199.639443302587,200.80616644542388,199.4106831850227,200.40200805664065,13705402,40,87,86,86,72,83
194,2017-10-09,200.32578123005916,200.4020190923592,199.41069416615107,200.02073669433597,9609100,63,85,92,94,79,91
195,2017-10-10,199.3344269787512,201.24083891097263,199.3344269787512,200.3257751464844,8445347,100,95,95,98,91,97
196,2017-10-11,201.08834150211405,201.24084049491407,199.868233201563,200.85955810546875,10371405,38,94,96,95,79,89
197,2017-10-12,201.3171146518626,202.23220175438735,200.63081096078488,201.774658203125,12694175,26,98,92,98,84,94
198,2017-10-13,201.31710939503685,203.90982508898003,201.1645871247215,203.0709991455078,12279195,53,92,91,86,70,82
199,2017-10-16,203.9098058447326,203.9098058447326,201.92713287590587,202.4609375,11528685,26,98,100,98,100,98
200,2017-10-17,202.9947466075852,202.9947466075852,201.39335597156224,201.6221160888672,9373235,38,92,91,94,72,94
201,2017-10-18,202.76596951745543,204.44362133523845,202.23218813661916,203.29977416992188,13628349,26,81,89,96,83,88
202,2017-10-19,203.60480381998045,203.90982508898003,202.0034130681937,203.0709991455078,10249457,26,92,91,95,85,87
203,2017-10-20,203.60479708821865,205.27786440851736,203.29977582930397,204.8249053955078,16012623,53,90,78,81,75,77
204,2017-10-23,205.12993772069325,205.42581324484468,203.68106920896264,204.44363403320312,9595452,74,97,93,94,69,91
205,2017-10-24,204.13859716681705,205.053660923039,203.75731478381712,204.67237854003903,8970600,13,90,95,100,66,94
206,2017-10-25,204.82491871858525,204.82491871858525,202.5372242204737,203.52854919433597,9547316,0,85,91,94,100,100
207,2017-10-26,203.8335543172833,207.3413569240197,202.76596829044087,206.197509765625,17848879,26,91,90,95,69,88
208,2017-10-27,207.3413729989412,207.72265541463312,203.9098312577139,204.7486572265625,15756427,40,85,86,86,62,76
209,2017-10-30,204.901185996094,205.28246842387117,203.2235340052215,204.21485900878903,12094946,25,94,96,92,65,97
210,2017-10-31,203.37603723669372,204.62663138142267,202.30842792160448,203.60479736328125,15386469,13,85,90,98,66,93
211,2017-11-01,203.909820270072,205.8162322458049,203.909820270072,205.1299285888672,15172852,100,70,97,96,67,98
212,2017-11-02,207.0363483556368,208.48521685739044,205.66374099010832,207.34136962890625,18401430,40,100,100,96,62,100
213,2017-11-03,207.8751499428388,209.81968069466316,207.18884634052603,208.02764892578125,11285390,40,97,91,86,78,85
214,2017-11-06,208.56145640580857,209.09526103250064,206.04500207226943,206.6550445556641,11944205,76,97,99,98,63,93
215,2017-11-07,206.3500434521737,207.72265080958223,204.74865268744284,205.5874786376953,10718698,0,100,93,97,100,94
216,2017-11-08,205.358680224411,205.43494135461253,203.29976933874684,204.3673553466797,13638910,38,94,95,98,77,96
217,2017-11-09,203.98608696556053,205.2061953176247,202.2931921540839,202.6134796142578,12174805,57,90,92,94,56,92
218,2017-11-10,202.99475548494704,203.75732027148464,200.9358212526435,202.1559295654297,11537475,79,87,84,83,51,82
219,2017-11-13,202.84222701611796,203.1472482670794,200.09698921420545,201.46961975097656,11741591,19,98,100,93,63,92
220,2017-11-14,201.46963430714732,203.26164301287957,201.1645897625167,202.9185028076172,20458222,38,93,93,100,70,95
221,2017-11-15,202.5372287762113,203.52855377237177,200.87484298871587,202.68972778320312,13767627,56,96,92,97,65,91
222,2017-11-16,203.29979514510345,205.0536850042253,202.38470800978527,204.21485900878903,10890605,19,85,89,94,56,89
223,2017-11-17,204.062340253496,206.6550558571564,204.062340253496,205.0536651611328,12357274,20,78,86,84,69,81
224,2017-11-20,203.37603723669372,204.5961222740009,203.29977610395449,203.60479736328125,8849387,57,97,90,90,65,91
225,2017-11-21,203.6810584960205,205.05366579880624,203.1472538384759,203.60479736328125,10668008,56,94,87,94,74,93
226,2017-11-22,203.52852116378745,204.2148247643748,201.850892725866,202.3846740722656,12663204,76,85,81,85,84,83
227,2017-11-23,202.0796570783625,202.99474407944444,201.4696145920606,202.76596069335935,8803347,59,86,58,72,56,75
228,2017-11-24,202.8422393798828,203.9098254591349,202.38469583973728,202.8422393798828,6592873,78,82,57,65,44,64
229,2017-11-27,202.84222217141064,205.0536552776002,202.23217968405808,202.5372009277344,11833615,37,91,92,89,61,93
230,2017-11-28,200.02072975781283,203.6047934835917,200.02072975781283,202.9947509765625,15479776,18,92,91,94,74,92
231,2017-11-29,204.51987954981695,206.2737692029648,203.83355264311325,204.67237854003903,23374340,57,96,87,96,61,99
232,2017-11-30,204.29109031792623,206.80756793677693,203.452264444976,203.7573089599609,23531723,57,85,87,92,55,97
233,2017-12-01,203.22352707431344,203.22352707431344,199.8682464786324,200.55455017089844,18090049,34,79,90,84,79,72
234,2017-12-04,202.3084265310349,202.61347105989532,200.40201458380832,200.85955810546875,11501117,32,88,99,98,97,90
235,2017-12-05,201.24081651359143,202.1559034478639,200.09696948156463,201.31707763671875,13069376,65,96,99,100,100,89
236,2017-12-06,201.3171068917481,201.3171068917481,198.95315136104156,199.56321716308597,15116080,83,90,96,98,90,95
237,2017-12-07,201.0883269293652,201.54584714623925,197.50426341966204,198.1905670166016,22154120,100,93,93,98,87,93
238,2017-12-08,198.3430905079816,202.53719651411424,197.8855470166232,201.16456604003903,22240590,34,82,85,82,60,82
239,2017-12-11,201.7746452398208,203.37603593053967,201.6221229753218,201.8509063720703,13154701,81,89,100,95,86,100
240,2017-12-12,201.77463583521157,203.14724306520532,201.24083120597552,202.76596069335935,18936153,32,88,96,95,85,96
241,2017-12-13,203.0709868897577,203.90981278260503,201.11121313710532,202.85595703125,16745794,32,92,94,97,94,91
242,2017-12-14,202.76597824458668,204.74865140412984,202.4609569750334,202.8422393798828,13405563,17,87,90,91,88,83
